Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Ministry of Health- Uganda,minofhealthUG,767949523254855,187541,2020-09-21 13:38:32 EAT,Photo,3337,348,95,5,5,9,20,5,5,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3510673498982430,"Results of COVID-19 tests done on 20 September, 2020 confirms 181 new cases. The cumulative confirmed cases of Ugandans to-date is now 6,468. The breakdown of the 181 new cases are: Contacts and alerts (157) : Kampala (73), Mbale (19), Kapchorwa (26), Soroti (10), Jinja (5), Kaberamaido (5), Kumi (3), Buikwe (2), Iganga (2), Isingiro (2), Ngora (3), Busia (1), Kaliro (1), Kanungu (1), Masaka (1), Rakai (1), Sironko (1) and Wakiso (1) Returnees (21): India (20), Tanzania 1 Truck drivers (3) : Malaba Point of Entry",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3510670772316036/?type=3,,"REPU FUGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 20TH.SEPT.2020 CUMULATIVE DEATHS TO-DATE 63 181 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 6,468 CUMULATIVE RECOVERIES TO-DATE 2,731 TOTAL COVID-19 SAMPLES TESTED TO-DATE 453,593 Woar Mauk 0800-100-066 0800-203-033 Wash your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,"3,829","3,829"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186801,2020-09-18 13:01:48 EAT,Photo,3119,376,107,11,4,38,38,6,5,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3501323469917433,"Results of COVID-19 tests done on 17 September 2020 confirm 214 new cases. The cumulative confirmed cases of Ugandans is now 5,594. 🔸Recoveries: 2,544 🔺1 new COVID-19 death registered from Kampala. Total COVID-19 deaths are now 61.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3501320093251104/?type=3,,"A REPU FUGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 17TH.SEPT.2020 DEATHS REGISTERED TO-DATE 61 214 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 5,594 RECOVERIES TOTAL COVID-19 SAMPLES TESTED TO-DATE 444,346 2,544 Wear Mask 0800-1 00-066 0800-203-033 Wash your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website:www.healith.go.ug #STAYSAFEUG",,,,,"3,704","3,704"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185475,2020-09-12 08:41:53 EAT,Native Video,3435,182,26,12,0,0,0,0,0,original,19556,19628,0,00:00:22,https://www.facebook.com/minofhealthUG/posts/3482569578459489,"Dr Richard Kabanda, Ag. Commissioner in charge of Health Promotion, Education and Strategic Communication joins a team of experts to discuss managing COVID-19 in Uganda. Date: Saturday, 12 September, 2020 Time: 11:00am 🎥: The discussion will be live on MTN Uganda Facebook page. #STAYSAFEUG #WearItForMe",https://www.facebook.com/minofhealthUG/videos/847434312456194/,,,Wear it for Me Webinar,,,,"3,655","3,655"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184020,2020-09-03 16:00:02 EAT,Photo,2840,436,127,5,9,77,76,6,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3455652314484549,"Results of COVID-19 tests done on 02 September,2020 confirm 176 new cases today. This brings the cumulative confirmed cases to 3,288. 🔺Uganda has registered one COVID-19 death today. This brings the total COVID-19 deaths to 33.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3455652171151230/?type=3,,,,,,,"3,578","3,578"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184829,2020-09-09 12:29:17 EAT,Photo,2505,424,117,5,11,84,41,4,4,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3473699382679842,"Results of COVID-19 tests done on 08 September 2020 confirmed 201 new cases. This brings the cumulative confirmed cases of Ugandans to 4,101. 🔸Recoveries: 1,876 #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3473698959346551/?type=3,,,,,,,"3,195","3,195"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185339,2020-09-11 12:17:12 EAT,Photo,1657,554,78,5,1,21,23,4,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3479776802072100,"Results of COVID-19 tests done on 10 September 2020 confirm 86 new cases. The cumulative confirmed cases of Ugandans now is 4,377. 🔺One COVID-19 death registered. The total COVID-19 deaths are now 49.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3479776172072163/?type=3,,,,,,,"2,346","2,346"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186096,2020-09-16 21:51:55 EAT,Photo,1698,146,118,46,16,3,0,3,5,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3496486737067773,"The Source of the Nile Bridge has been illuminated this evening with support from Uganda National Roads Authority and World Health Organization Uganda to commemorate World Patients' Safety Day. Lighting up the bridge in orange is a symbolic gesture to represent public recognition of health workers’ efforts to provide safe healthcare every single day. This is evident from the commitment, resilience and hard work exhibited by health workers. Every year, the day is commemorated on September 17. This year, the theme is “Health worker safety: A priority for patient’s safety” 📷: WHO Uganda.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3496485270401253/?type=3,,,,,,,"2,035","2,035"
Ministry of Health- Uganda,minofhealthUG,767949523254855,183891,2020-09-02 14:31:47 EAT,Photo,1556,323,81,2,1,14,15,3,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3452254348157679,"Results of COVID-19 tests done on 01 September 2020 confirm 75 new cases. The cumulative confirmed cases of Ugandans to-date is 3,112. 🔸Recoveries: 1,528",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3452254081491039/?type=3,,,,,,,"1,996","1,996"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186899,2020-09-19 13:39:57 EAT,Status,1148,489,161,3,16,83,65,8,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3504455086270938,"Results from COVID-19 tests done on 18 September 2020 423 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 6,017. 🔺2 new COVID-19 deaths from Kampala and Mpigi. The total COVID-19 deaths are now 63. Contacts and alerts (411): Moroto (166), Kampala (85), Butaleja (59), Mukono (27), Lira (14), Mbale (10), Wakiso (9), Luwero (6), Buikwe (5), Kisoro (4), Gulu (3), Bududa (5), Jinja (4), Kumi (3), Kanungu (1), Kapchorwa (4), Mpigi (1), Soroti (3), Mityana (1), Sironko (1) Returnees (12): from Saudi Arabia (8), India (3), Jordan (1) 🔸 Ugandan recoveries: 2,581 🔹Point of entry samples: 306 🔸Contacts and alerts samples: 2,014 🔹Total samples tested: 2,320",,,,,,,,"1,976","1,976"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184400,2020-09-05 18:55:02 EAT,Status,1084,619,136,1,11,58,42,3,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3462096883840092,"Results from COVID-19 tests done on 04 September 2020 186 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 3,539 🔺Four (4) COVID-19 deaths registered today. This brings the total COVID-19 deaths to 39. - 51 year male from Kanungu District - 56 year old male from Kampala - 79 year old female from Wakiso - 60 year old male from Kampala The breakdown of the 186 new cases are: 🔺Contacts and alerts (176): Kampala (81), Gulu (33), Pader (15), Kapchorwa (9), Mukono (6), Kiryandongo (5), Mbale (5), Buikwe (3), Lamwo (3), Bududa (2), Iganga (2), Wakiso (2), Arua (1), Butalejja (1), Buvuma (1), Kanungu (1), Kibuku (1), Kukuube (1), Kitgum (1), Kyegegwa (1), Lira (1), Nebbi (1) 🔺Health workers (7): Jinja (1), Gulu (1), Lamwo (1), Kitgum (1), Mbale (1), Lira (1), Iganga (1) 🔺Truck drivers (3): Malaba (2), Elegu (1) 11 foreign truck drivers tested positive for COVID-19 at the border points of entry and their entry into the country was not permitted 🔸 Ugandan recoveries: 1,608 🔹Points of Entry samples: 645 🔸Samples from contacts and alerts:4,104 🔹Total samples tested today: 4,749",,,,,,,,"1,956","1,956"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185475,2020-09-12 17:44:12 EAT,Status,1120,447,138,4,11,90,66,11,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3483678265015287,"Results from COVID-19 tests done on 11 September 2020 326 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 4,703 🔺3 COVID-19 deaths from Kampala registered today. This brings the total COVID-19 deaths to 52. Contacts and alerts (317): Kampala (94), Buikwe (93), Kitgum (29), Gulu (17), Moroto (19), Mbale (10), Amuru (9), Kapchorwa (8), Pader (7), Nwoya (5), Bududa (5), Mukono (5), Wakiso (4), Jinja (2), Omoro (2), Sironko (3), Zombo (2), Arua (1), Namisindwa (1) and Tororo (1) Returnees (9): India (5), Burkina Faso (1), Iraq (1), Italy (1) and Kenya(1) 🔸 Ugandan recoveries: 1998 🔹Point of Entry samples: 178 🔸Samples from contacts and alerts: 3,928 🔹Total samples tested: 4,106",,,,,,,,"1,890","1,890"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186096,2020-09-16 17:40:05 EAT,Photo,1702,92,30,4,0,11,0,1,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3495855993797514,Who is a contact to a confirmed COVID-19 case? A contact is someone who has been in the same general area as someone who has tested positive for Coronavirus. #STAYSAFEUG,https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3495854440464336/?type=3,,"THE REPUBLIC OF UGANDA MINISTRY OF HEALTH COVID19 CONTACT TRACING A contact is someone who has been in the same general area as someone who has tested positive for the coronavirus If you have been in close contact with a person who has COVID-19 health worker may call to let you know you've been exposed and ask you to stay at home and self-quarantine. Doing so keeps you, your family, and your community safe. Be responsible and help slow the spread of COVID-19 Wear Mosk Wash your lands Keep your Distance",,,,,"1,843","1,843"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186096,2020-09-16 14:32:14 EAT,Photo,1372,188,71,6,4,26,20,2,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3495369210512859,"Results of COVID-19 tests done on 15 September 2020 confirm 143 new cases. The cumulative confirmed cases of Ugandans are now 5,266. 🔸Recoveries: 2,404 🔺2 new COVID-19 deaths registered. Total COVID-19 deaths are now 60. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3495368633846250/?type=3,,,,,,,"1,690","1,690"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184482,2020-09-06 10:22:13 EAT,Status,1007,312,121,5,9,53,41,2,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3464089586974155,"Results from COVID-19 tests done on 05 September 2020 128 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 3,667 🔺Two (2) COVID-19 deaths registered today from Kampala and Jinja. This brings the total COVID-19 deaths to 41. 🔺Contacts and alerts (120): Kampala (95), Wakiso (13), Luweero (3), Nwoya (2), Amuru (1), Jinja (1), Kanungu (1), Manafwa (1), Maracha (1), Soroti (1), Zombo (1) 🔺Health workers (7): Kampala (2), Lira (2), Wakiso (2), Mityana (1) 🔺Truck Driver (1): Elegu POE 1 Rwandese truck driver tested positive for COVID-19 at Mirama Hills and his entry into the country was not permitted 🔸 Ugandan recoveries: 1,608 🔹Points of Entry samples: 284 🔸Samples from contacts and alerts: 4,639 🔹Total samples tested today: 4,923",,,,,,,,"1,553","1,553"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184482,2020-09-06 18:23:42 EAT,Status,891,435,67,0,0,3,82,1,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3465283130188134,"🚨NOTICE🚨: The Ministry of Health would like to inform the general public that Lira Regional Referral Hospital remains OPEN, contrary to social media reports. However, the hospital has been conducting mass testing for COVID-19 among its staff. 4 health workers were confirmed for COVID-19, of which 2 work in the operating theatre. The theatre has since been temporarily closed for disinfection and contact tracing. All other health services remain OPEN to the public with strict adherence to SOPs. However, arrangements are being made to handle emergency surgeries. On a sad note the Ministry annouces the death of a Senior Medical Officer of Lira RRH today due to COVID 19. The Ministry commiserates with the staff of Lira hospital and the entire medical fraternity on this untimely death. May his soul rest in eternal peace.",,,,,,,,"1,480","1,480"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184593,2020-09-07 17:07:29 EAT,Photo,964,276,108,4,5,46,52,2,5,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3468236163226164,"Results of COVID-19 tests done on 06 September,2020 confirmed 109 new cases. This brings the cumulative confirmed cases of Ugandans to 3,776. 🔺3 COVID-19 deaths registered. This brings the total COVID-19 deaths to 44. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3468235599892887/?type=3,,,,,,,"1,462","1,462"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184734,2020-09-08 17:09:54 EAT,Photo,715,392,96,2,1,28,28,0,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3471248109591636,"Results of COVID-19 tests done on 07 September 2020 confirm 124 new cases. This brings the cumulative confirmed cases of Ugandans to 3,900. 🔸Recoveries: 1,817 🔺2 new deaths registered. The total COVID-19 deaths are now 46.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3471246959591751/?type=3,,,,,,,"1,263","1,263"
Ministry of Health- Uganda,minofhealthUG,767949523254855,183742,2020-09-01 12:32:38 EAT,Photo,857,279,79,2,2,10,24,5,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3448804745169306,"Results of COVID-19 tests done on 31 August,2020 confirm 65 new cases. This brings the cumulative confirmed cases of Ugandans to 3,037. 🔸Recoveries: 1,489 #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3448804601835987/?type=3,,,,,,,"1,258","1,258"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185339,2020-09-11 10:28:48 EAT,Native Video,1047,18,31,12,1,2,0,0,2,original,10668,10838,0,00:01:20,https://www.facebook.com/minofhealthUG/posts/3479571952092585,"In the hospitals, health workers fight COVID-19 as a unit. Now, let’s fight COVID-19 as a community. Protect yourself and your loved ones from the disease. JICA Uganda #STAYSAFEUG",https://www.facebook.com/minofhealthUG/videos/392946621688028/,,,Protect yourselves and your loved ones from COVID-19,,,,"1,113","1,113"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185621,2020-09-13 17:00:12 EAT,Status,715,204,67,4,1,15,26,2,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3486615351388245,"Results from COVID-19 tests done on 12 September 2020 96 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 4,799 🔺3 COVID-19 deaths from Kampala registered today. This brings the total COVID-19 deaths to 55. Contacts and alerts (88): Kampala (33), Buikwe (28), Jinja (4), Soroti (4), Lira (3), Kibuku (2), Mbarara (2), Terego (2), Tororo (2), Amolatar (1), Arua (1), Iganga (1), Masindi (1), Ngora (1), Moroto (1), Pader (1), Wakiso (1) 7 truck drivers: Malaba (3), Bunagana (2), Elegu (2) 1 returnee from DRC 🔸 Ugandan recoveries: 2,256 🔹Point of Entry samples: 413 🔸Samples from contacts and alerts: 2,937 🔹Total samples tested: 3,350",,,,,,,,"1,036","1,036"
Ministry of Health- Uganda,minofhealthUG,767949523254855,183891,2020-09-02 16:34:42 EAT,Photo,756,141,22,2,1,0,1,0,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3452559441460503,"The Minister for Health, Dr. Jane Ruth Aceng Ocero launched the Malaria Free Uganda (MFU) board, an innovative Public-Private Partnership recently established to sustain and accelerate the National Malaria Response. The Board is composed of: 1. Mr. Kenneth Mugisha, Rotarian Malaria Partners Uganda (Board Chair) 2. Mr. Patrick Bitature, Chairman Simba Group 3. Mr. Solomon Ossiya, Rotarian Malaria Partners Uganda 4. Ms. Lillian Ajarova, CEO, Uganda Tourism Board 5. Mr. Fabian Kasi, CEO, Centenary Bank, 6. Ms. Barbara Mulwana, Chairperson Uganda Manufacturers Association (UMA) 7. Mr. Harrison Mutikanga, CEO, Uganda Electricity Generation Company Limited 8. Ms. Proscovia Nabbanja, CEO, Uganda National Oil Company 9. Ms. Sylvia Arinaitwe, Dep. MD, National Water & Sewerage Corporation 10. Ms. Juliet Kyokunda, CEO Uganda Biodiversity Fund 11. Mr. Bildard Buguma, MD, Joint Medical Stores The Board will Advocate for malaria to remain high on the national development agenda, including for sectors outside of health, Mobilise Financial and in-kind goods and services to plug resource gaps under the national malaria strategic plan, Strengthen Mutual Accountability for achieving a malaria-free Uganda by 2030 and lead the Promotion for the inclusion of MFU into the private sector Corporate Social Responsibility Programs.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3452559154793865/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,926,926
Ministry of Health- Uganda,minofhealthUG,767949523254855,187770,2020-09-22 14:57:27 EAT,Photo,656,127,87,4,2,9,18,0,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3513832298666550,"Results of COVID-19 tests done on 21 September, 2020 confirm 244 new cases. The cumulative confirmed cases of Ugandans are 6,712. The breakdown of the 244 new cases are: •Contacts and alerts (219): Kiryandongo (26), Kampala (23), Pader (19), Gulu (16), Mukono (14), Moroto (13), Jinja (11), Adjumani (11), Amuru (9), Busia (7), Kitgum (12), Lira (6), Omoro (5), Buvuma (4), Nakapiripirit (5), Arua (3), Iganga (3), Kisoro (3), Kumi (3), Mitooma (3), Nabilatuk (2), Bulambuli (2), Butaleja (2), Soroti (2), Wakiso (2), Abim (1), Buikwe (1), Bunyangabu (1), Kabarole (1), Kapchorwa (1), Kotido (1), Isingiro (1), Mbarara (1), Moyo (1), Ngora (1), Sironko (1), Tororo (1) and Zombo (1) •Returnees (24): all from India •Truck driver (1) from Mpondwe Point of Entry One (1) COVID-19 death from Kampala registered today. The total COVID-19 deaths are now 64.",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3513827795333667/?type=3,,"THE REPU FUGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 21$.SEPT.2020 CUMULATIVE DEATHS TO-DATE 244 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 6,712 64 CUMULATIVE RECOVERIES TO-DATE 2,778 TOTAL COVID-19 SAMPLES TESTED TO-DATE 457,128 Wear Mask 0800-100-066 0800-203-033 Wosh your Hands Keop your Distance E-mail: dghs@infocom.co.ug Website: www.health.go.ug #STAYSAFEUG",,,,,906,906
Ministry of Health- Uganda,minofhealthUG,767949523254855,184734,2020-09-08 11:58:47 EAT,Native Video,592,180,49,14,0,2,0,0,3,original,9088,9744,0,00:00:58,https://www.facebook.com/minofhealthUG/posts/3470571959659251,Wearing a face mask when in public can help you prevent COVID-19. Always wear a face mask and ensure that it covers your mouth and nose in order to achieve full protection against COVID-19.,https://www.facebook.com/minofhealthUG/videos/337852657264015/,,,Wearing a face mask can help you prevent COVID-19,,,,840,840
Ministry of Health- Uganda,minofhealthUG,767949523254855,185692,2020-09-14 23:00:34 EAT,Photo,650,100,52,3,1,18,1,0,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3490434604339653,The Ministry of Health clarifies on the cost of COVID-19 tests as alleged by an article published by the Sunday Monitor.,https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3490431384339975/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,825,825
