,Facebook Id,text,label
20340,274577061337,"Malawi President working on new law seeking to trim his presidential powers & empower the citizens In his national address, Chakwera said having a president who makes too many decisions has created problems and this has led to government mismanagement in the past. He says the president has too much appointing authority and responsibilities that ....read more... http://newz.ug/malawi-president-working-on-new-law-seeking-to-trim-his-presidential-powers-empower-the-citizens/",
20345,274577061337,"Malawi President working on new law seeking to trim his presidential powers & empower the citizens In his national address, Chakwera said having a president who makes too many decisions has created problems and this has led to government mismanagement in the past. He says the president has too much appointing authority and responsibilities that ....read more... http://newz.ug/malawi-president-working-on-new-law-seeking-to-trim-his-presidential-powers-empower-the-citizens/",
20353,329423169077,The truck driver who collapsed in Lira over the weekend has been identified. Details 👉 https://bit.ly/30KbMFw:=:https://newvisionapp.com/2663 | #VisionUpdates,
20358,1486116641609917,Cry my beloved Country,
20360,1681786142107330,Cry my beloved Country,
20361,105583497196,Cutting People Power open: Open letter to Nubian Li #MonitorUpdates,
20365,169252986456497,"The NRM party is set to hold its national delegates conference between the 18th and the 20th of this month. According to the party secretary-general Kasule Lumumba, the conference will be held at the district level. #NTVNews #UGDecides2021",
20371,274577061337,Absolutely,
20389,1486116641609917,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",
20392,1681786142107330,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",
20393,274577061337,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",
20401,1486116641609917,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",
20405,1681786142107330,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",
20407,274577061337,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",
20412,274577061337,"The Clearing and Forwarding industry is one of the most lucrative and security is following up an intelligence tip that Kateshumbwa used his office of the Commissioner Customs to ensure that all money-spinning clearing and forwarding clearances were managed by his firm, raising questions of conflict of interest.",
20417,169252986456497,"After 4 years of construction work, the long-awaited Atiak sugar factory has finally started production of sugar in Amuru district. #NTVNews",
20419,1681786142107330,Is it true??,
20423,1681786142107330,#Share and like our #page,
20432,274577061337,😍😍😍🏃🏃,
20435,274577061337,Worthy Watching...👇👇👇,
20442,274577061337,"Dear all, I'm soon recruiting over 500 youth who are so knowledgeable in business across the region. If you are in Uganda, Tanzania, Kenya, South Sudan and Rwanda you are very lucky to have this opportunity. just follow and like my page for you to be in touch with me https://www.facebook.com/Chan-Mut-Turoah-107721017704590/",
20444,1681786142107330,Sheema Woman MP Aspirant Accused Of Assaulting Maid Over Closeness To Her Hubby ☛ ,
20447,1486116641609917,Sheema Woman MP Aspirant Accused Of Assaulting Maid Over Closeness To Her Hubby ☛ ,
20455,169252986456497,The NRM Secretary General Justine Kasule Lumumba says nobody is above the law when it comes to enforcing government directives on curbing the spread of COVID-19. #NTVNews #UGDecides2021,
20474,274577061337,"The decision by the DPP to sanction the attaching of Kasekende’s properties is supported by a report by Parliament’s Committee on Commissions, Statutory Authorities and State Enterprises (Cosase) that questioned the manner in which he acquired the properties.",
20508,274577061337,Interesting read,
20510,1681786142107330,💯%,
20524,1681786142107330,So now we are stealing our own land? Wtf!,
20538,1681786142107330,Protect your family - get a quality water purifier for your home 👇👇👇,
20566,1486116641609917,https://www.facebook.com/102616044852623/posts/134002351713992/?app=fbl,
20576,1486116641609917,"The easiest way to earn Bitcoins? Just change your browser to CryptoTab and receive payments to your balance every 10 minutes. You will get BTC for simply using it, even if just having CryptoTab browser window open. It takes less than 1 minute to start earning. So, click the picture, download the app and start earning bitcoin - ",
20579,1681786142107330,"Many people will get recharge card tonight. Congrats and don't miss it, Admin block me if I don't send the card, 5k recharge card Glo Mtn Airtel Eti Write 1-30 without interruption. First 5 people that get it get 5k card. ",
20580,105583497196,We have agreed that Bobi Wine will lead for 10 years – Nambooze #MonitorUpdates,
20585,274577061337,"Nasty road accident on Sunday evening, between friend’s bus and government double cabin UG 0922Z The accident happened along Gulu -Kampala highway",
20602,1486116641609917,STAY WARNED,
20636,1681786142107330,Full figure has a message for all people on kyeyo what should we do for her nga oleese speed !!!,
20640,1681786142107330,BUGWERI Decides,
20643,274577061337,????????,
20647,1486116641609917,"say - Look ... Look ... Oklahoma Highway Patrol pulled a hole in the pursuit vehicle, but look what happens #amazingvideos",
20664,1486116641609917,Batiddemu🤔🤔,
20665,129941485127407,Origin & where we are today. Servitude but is it still worth doing??!!!,
20669,1681786142107330,Republican woman GOES VIRAL with speech about why she's abandoning Trump,
20670,129941485127407,https://www.facebook.com/108621744062754/posts/168410508083877/?app=fbl,
20672,274577061337,"KAMALA THE UGANDAN GIANT WHO SADLY PASSED AWAY TODAY, IS MOURNED BY WRESTLING FANS AROUND THE WORLD. RIP..",
20682,274577061337,RIPPING NRM OUT OF UGANDA... PLEASE HELP TO SHOW THEM THE WAY OUT👉👉👉2021👈 UGANDANS WAKE UP!!!,
20705,1681786142107330,For those ababadde bebasse nga nze... nabino bikulu nyo,
20720,1486116641609917,Follow on FB Frank jo and Instagram frankjo_official for more music updates,
20721,1681786142107330,Follow on FB Frank jo and Instagram frankjo_official for more music updates,
20724,274577061337,He looks like he is knocking on hell's door. The bell is certainly tolling. Barbarism and evil eventually catch up with the perpetrators in the end. The finity of life is the great leveller. This is the ineluctable law of nature that no one can run away from. Not Ofwono Opondo. Not KAYIBANDA RUBATASIRWA MUSEVENI. Teddy Ayo Opot KaIcaka Sokolokobangusay Kolongo William Okidi Moses Atocon Julius Peter Moto,
20733,274577061337,We must not allow it,
20751,1486116641609917,Follow the page for more updates #DrStellaNyanzi,
20754,129941485127407,Like the page 👇 👇,
20762,105583497196,Life changing lessons from the lockdown #MonitorUpdates,
20763,274577061337,Wabula ayige,
20766,1681786142107330,Akatambi ka Basudde,
20768,274577061337,Akatambi ka Basudde,
20769,274577061337,Akatambi ka Basudde,
20776,1681786142107330,❤️❤️❤️,
20781,274577061337,"NEWS - We welcome EmailTree AI as sponsor to AI Expo Africa 2020 Online- Africa's largest B2B Artificial Intelligence, Data Science and Robotic Process Automation-focused trade show & conference. Learn more here: aiexpoafrica.com #AI #AIExpoAfrica #Africa #ArtificialIntelligence #4IRSA #ML #RPA #MachineLearning #RoboticProcessAutomation #DataScience #Conference #Event",
20789,274577061337,"WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION: Museveni went to the bush in 1981 to fight for a stolen election. The People Power will not go to the bush 2021. however, Museveni and his NRM thugs have continually violated the COVID-19 RULES OPENLY then, THE PEOPLE’S REVOLUTIONARY FORCE, T.P.R.F. will remove Museveni and his NRM from Power by force of arms regardless. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/NubianAliBuken/videos/290696201993805/?t=34",
20809,1486116641609917,Stella asazewo,
20815,105583497196,Spouses should not badmouth each other - Manuela #MonitorUpdates,
20825,274577061337,𝐖𝐡𝐚𝐭 𝐝𝐨 𝐲𝐨𝐮 𝐤𝐧𝐨𝐰 𝐚𝐛𝐨𝐮𝐭 𝐀𝐜𝐡𝐨𝐥𝐢 𝐥𝐚𝐝𝐢𝐞𝐬 𝐚𝐩𝐚𝐫𝐭 𝐟𝐫𝐨𝐦 𝐛𝐞𝐢𝐧𝐠 𝐡𝐚𝐫𝐝𝐰𝐨𝐫𝐤𝐢𝐧𝐠 𝐥𝐚𝐝𝐢𝐞𝐬?,
20828,1681786142107330,That's wat is hurting this kasajja with bigooli oba kulwaki tebava mu self denial nti Bobi mazzi mawanvu,
20831,1486116641609917,The Whole world loves RockUg,
20849,105583497196,Eric Kigozi’s legacy of service and dedication #MonitorUpdates,
20851,1681786142107330,https://www.facebook.com/113153756820788/posts/192479802221516/,
20886,274577061337,IT'S WORTHY SHEARING,
20890,274577061337,One word for Doctor Desire Luzinda??🙌🏽😅,
20895,1681786142107330,Level him wamma,
20907,1681786142107330,"So adorable ,awesome monkey like human ,love them and man treating with polite voice and baby monkey is impatient",
20908,105583497196,Plan for unexpected early retirement #MonitorUpdates,
20932,1681786142107330,Please join me to wish Happy 2nd anniversary to Another Life Global Ministries,
20941,1681786142107330,"Watch video he full mix https://youtu.be/8JIxplY0STE Download audio mixes https://hearthis.at/dj-uzi-banx/#redirect Best Nonstop to Africa 2020 ft bongo,gengetone, hip hop,love,naija afrobeats,gospel,South African music 2020 etc 👇👇👇👇 https://drive.google.com/file/d/13CRCZIalc2aiaQt1vSKibIDcv49QoZzs/view Download this app to download audio and videos on YouTube👇👇👇👇👇👇 https://www.videoder.com I'm on Instagram as @deejayuzibanx. Install the app to follow my photos and videos. https://www.instagram.com/invites/contact/?i=3ytzfuwpvu5z&utm_content=2kaza7d",
20945,105583497196,Hundreds killed as residents rebel against Baganda agents’ rule in Kigezi #MonitorUpdates,
20960,274577061337,"The fact is, we have an important choice to make in February 2021",
20961,274577061337,"Russia has long been training Africans in advanced weapons technology in Russia, it is only inevitable that these Africans will start coming home with higher tech military training and Russian equipment. During Africa's independence struggles from the West no Western country would sell lend nor credit Africa arms; since they were the enemies of Africa who were plundering its wealth, grabbing land and human resources, why would they want to help Africa to this day?",
20963,1681786142107330,Mbu a good leader must be a good ex........??,
20965,1681786142107330,Museveni must go Tatulemelako,
21008,1681786142107330,Humans against nature,
21018,105583497196,We are good at home gardening #MonitorUpdates,
21025,274577061337,Ugandans shooting sideways.,
21034,1486116641609917,Issues in relationships and how to handle them. ali mumukwano sembera,
21042,1681786142107330,Issues in relationships and how to handle them. ali mumukwano sembera,
21061,274577061337,She is still proud to be part of NRM hummm gasiya pekeyake,
21062,274577061337,"This happened in Koboko yesterday,no police deployed,ambulance available and its called scientific campaign,amnot in politics my question is about the alleged corona of Uganda.",
21082,1681786142107330,The radical terrorists are in full swing...all they have are a Ka laptop and earphones but are busy attacking kenzo🤣🤣🤣 mbu bukakasa.. msteww their cult leader has mediocre songs but are attacking Uganda's brand ambassador... We invite kenzo to join FDC,
21083,105583497196,"Judiciary, UPC court drama continues #MonitorUpdates",
21127,1681786142107330,..,
21129,1681786142107330,https://www.facebook.com/113153756820788/posts/192479802221516/,
21154,274577061337,Olumaze okulya omusimbi ggwa Anite nebebeleramu 🙆‍♂️,
21161,1681786142107330,Uganda twagilwa... katonda yamba...,
21163,105583497196,Cutting People Power open: Open letter to Nubian Li #MonitorUpdates,
21179,1681786142107330,listen,
21182,1681786142107330,"New post added at The Movement Times - Dicksons Kateshumbwa calls for calmness, denies organising a procession from Mbarara to Kabwohe",
21191,1681786142107330,Sunday request show team NUP and team NRM hhh call Neighborhood,
21198,274577061337,"#Covid19: Uganda registers Seventh death, 5 new cases in Kampala The deceased, is a 49-year old Ugandan female, a resident of Wakiso. The development comes hours after , The US Embassy in Uganda warned Kampala has a lot more cases of COVID-19 than are currently known. ...... http://newz.ug/covid-19-uganda-registers-seventh-death-5-new-cases-in-kampala/",
21201,129941485127407,https://www.facebook.com/108621744062754/posts/164495248475403/?app=fbl,
21203,274577061337,When afull still talks people think he's is a ugandan yet he's aduck,
21216,105583497196,"Why popularity in politics matters more than experience, competence #MonitorUpdates",
21243,274577061337,Anite's bill bord.,
21271,1486116641609917,Bagambeko 🔥 🔥,
21284,274577061337,Bagambeko 🔥 🔥,
21287,105583497196,Makumbi worked her way up to top of the literary world #MonitorUpdates,
21289,274577061337,#Ofwono Opondo at #NakaseroHospital: Am making good progress,
21296,1681786142107330,Bagambeko 🔥 🔥 🔥,
21313,274577061337,"When you sarve a selfish regime that is what happens at last, you reap what you saw",
21315,1681786142107330,#FridayRideShow Every Friday Streaming Live On Facebook Swat entertainment uganda From 4pm to 6pm Hosted By Nicholas Mexex & D Jaymagic Tach Uganda,
21332,1681786142107330,Share,
21337,105583497196,"Putin may be right, but what if he is wrong? #MonitorUpdates",
21360,1681786142107330,https://youtu.be/bN6znskKXCg,
21392,105583497196,Hiroshima @75: Anatomy of a heinous crime against humanity #MonitorUpdates,
21398,1486116641609917,https://thegkmurithi.wordpress.com/2020/08/07/youth-against-corruption/,
21405,1681786142107330,"Many people will get recharge card this Morning Congrats and don't miss it, Admin block me if I don't send the card, 5k recharge card 4 Sallah Glo Mtn Airtel Eti Write 1-30 without interruption. First 5 people that get it get 5k card. ",
21421,274577061337,Defence and excuses!,
21423,329423169077,Celebrating 70 years of Formula One 🗞️ Story in today's edition 👉🏽 https://t.co/pxiru883T1:=:https://epapers.visiongroup.co.ug/ | #VisionSports,
21425,1486116641609917,KABULETA ALEETA SENTE 2021,
21436,105583497196,"Bizonto, popular culture and politics of the day #MonitorUpdates",
21454,274577061337,Learning From Dr. Patrick Bitature | Episode 1,
21457,274577061337,Is this one not really another dictator?😠😠😠,
21469,1486116641609917,JUST IN: Obasanjo tests negative to Covid-19,
21474,105583497196,"After “science”, Museveni must start singing “mathematics” #MonitorUpdates",
21480,274577061337,**I Can't Apologise To The Ganja Boy (Bobiwine) - What Ever I Said Was True And I Can Still Repeat I**t ,
21488,274577061337,https://youtu.be/HLEyOHW2YsM,
21489,274577061337,**I Can't Apologise To The Ganja Boy (Bobiwine) - What Ever I Said Was True And I Can Still Repeat I**t ,
21498,1681786142107330,Embeera jetutambuliramu,
21501,274577061337,Covid-19 Vaccine Timeline.,
21503,274577061337,Corona Virus Explained.,
21509,274577061337,When and How to Use Masks - WHO.,
21520,105583497196,Seventh death as Uganda registers 16 new cases of Covid-19 #MonitorUpdates,
21531,169252986456497,Ole Gunnar Solskjaer would love Manchester United to round off the coronavirus-affected season by winning the Europa League which he says will be the proudest moment of his life. #NTVNews Click 👇👇,
21536,274577061337,Mr Enanga POLICE chief of UGANDA where is UPDF OR LDU??? If it was NUP YOU DEPLOY AND ENTIRE ARMY? NRM YOU MUST 👉👉👉GO 2021👈👈 UGANDANS WAKE UP!!!,
21539,1681786142107330,"Hon. Francis Ayume has risen from dead, in the names Dr Charles Ayume Junior , the flower girl should watch the space. The owner of Koboko is taking over Raa",
21552,129941485127407,"Bushenyi District Chairman tests positive for Coronavirus, rejects results ",
21554,1681786142107330,See,
21560,105583497196,We have agreed that Bobi Wine will lead for 10 years – Nambooze #MonitorUpdates,
21562,169252986456497,"At least 29 bodies have been recovered after a massive landslide triggered by monsoon rains swept away dozens of tea estate workers in southwestern India, police said on Sunday. #NTVNews Read 👇👇",
21570,1486116641609917,we all need to get inspiration from this... Must Watch this Video.,
21571,1681786142107330,Online Church,
21581,129941485127407,https://www.facebook.com/108621744062754/posts/163821028542825/?app=fbl,
21584,274577061337,Advise to Bobi from Dr. Aggrey Kiyingi,
21585,274577061337,HACKED by NRM fraudists,
21594,1486116641609917,https://www.facebook.com/108621744062754/posts/163821028542825/?app=fbl,
21598,274577061337,NAIRA MARLEY IN TROUBLE IN NIGERIA,
21605,274577061337,"""I enrolled at Nkozi university for Development Studies which I barely did for a year because I had a UK tour that my manager then committed to and the dates collided with my first Exam period. I began to get tired of trying even when I knew the granite importance of Education,""",
21617,105583497196,The fall of Bobi Wine 👉👉https://bit.ly/3a8kgZS:=:https://www.monitor.co.ug/OpEd/Commentary/The-fall-Bobi-Wine-/689364-5606118-nrf4s8z/index.html #MonitorUpdates,
21634,274577061337,"#EDDY KENZO, CONFIRM WHAT YOU SAID ON THIS VIDEO!!!!! https://www.facebook.com/radiosimba/videos/937822406732783/",
21654,169252986456497,Government has been called upon to pay more attention to mental health issues if cases of violence in communities are to be managed. #NTVNews,
21666,274577061337,SOMEONE ALERT SEVERINO KAHINDA OTAFIRE BEFORE THIS CANADIAN BEER IS WITHDRAWN FROM THE MARKET.,
21670,274577061337,FDC Reconciliation: Hon. Reagan Okumu Reconciles with Hon. Acire Christopher,
21681,274577061337,THE STRANGE CASE OF A POT BELLIED KETTLE CALLING HIS POTS BLACK. A THIEF FIGHTING THIEVES.,
21696,105583497196,"Nsereko, Cedric Babu battle for heart of Kampala City #MonitorUpdates",
21697,274577061337,"FOR Gook Akanga and Norman Lakayana, not Ofwono Opondo or Severino Kahinda Otafire.",
21698,169252986456497,Forum for Democratic Change (FDC) Party leaders have launched a countrywide reconciliation bid to bring back members who have fallen out with the party. #NTVNews,
21700,1486116641609917,HELP,
21702,274577061337,Attention Attention,
21737,274577061337,MUSEVENI MUST FALL MISSION 2021 VOTE HE RKS BOBI WINE FOR PRESIDENCY,
21741,1681786142107330,Bulijooo iuuhh nze ntidde nyoo baana ba maama,
21743,1681786142107330,😂 😂 😂,
21761,274577061337,Warning: Ghetto Tv has been hacked! Unsubscribe and report.,
21770,105583497196,Lessons on healthy love and why it’s okay to run from abuse #MonitorUpdates,
21784,274577061337,"New #US Ambassador to #Uganda #NatalieBrown promises urge #Museveni to organize a free & fair election, end #corruption She served in Tunisia as the country transitioned from dictatorship to democracy. Ben Ali had ruled the country for 22 years. She identified areas of focus: strengthen Uganda’s multiparty democracy, promoting good governance, combatting corruption, and reinforcing respect for human rights, including for marginalized populations.....read more.. http://newz.ug/new-u-s-ambassador-to-uganda-natalie-brown-promises-urge-museveni-to-organize-a-free-fair-election-end-corruption/",
21787,1681786142107330,You are the kampala saviour against homosexuals and lesbians taking over kampala and uganda at large.we can't allow such......onto our city.,
21789,169252986456497,"Residents of Kagugube zone in Makerere, Kampala were thrown into a panic when fire gutted several properties at around 2:00 am this morning. #NTVNews",
21813,329423169077,Cheptegei eyes 5000 meters win at Diamond League https://bit.ly/2XIWTBi:=:https://www.newvision.co.ug/news/1524337/cheptegei-eyes-5000-meters-win-diamond-league | #VisionSports,
21815,329423169077,THE CONTROVERSY IN BOBI WINE'S PARTY What is the fight between NUP and NURP? How does the Electoral Commission come into it? Find the analysis 👉 https://bit.ly/3alxXFf:=:https://newvisionapp.com/2647 | #VisionUpdates,
21827,169252986456497,Former Inspector General of Police General Kale Kayihura has called on journalists to leave him alone. He made the comments during the burial ceremony for his mother. #NTVNews,
21841,105583497196,How Opposition is trying to use ludo to defeat Museveni #MonitorUpdates,
21845,1486116641609917,Omubanda wa kyabazinga......#jinja_city_vedeo coming soon!,
21846,1681786142107330,https://youtu.be/bN6znskKXCg,
21883,129941485127407,"Byewunyisa, Bisoomoza, bituzaamu amanyi, naawe osobola, katuzuule ebisingawo... Obade okimanyi nti..... Weyunge Ku Mukutu gweffe Ku YouTube okimanya ebisingawo",
21885,169252986456497,"President Museveni is trying to convince the members of the National Resistance Movement (NRM) Central Executive Committee (CEC) to vet Al-Mr Moses Kigongo, unopposed for the position of first national vice-chairperson of the party, Sunday Monitor has learnt. #NTVNews #UGDecides2021 Details 👇👇",
21887,105583497196,Bombers captain Bwogi vows to punch his weight #MonitorUpdates,
21890,1681786142107330,NUP TALKSHOW IN KITGUM . PPOP 💪💪💪💪⛱⛱⛱⛱⛱⛱,
21894,1681786142107330,Cool,
21898,274577061337,From mbale,
21909,1486116641609917,https://www.facebook.com/globaleye001/videos/722399918541467/?app=fbl,
21911,1486116641609917,https://www.facebook.com/globaleye001/videos/722399918541467/?app=fbl,
21912,274577061337,This Response from Dr Kizza Besigye after Bobi wine said there's democracy in Uganda at a DP bloc meeting is timeless What a Politician Dr kizza besigye is? Eyes on the ball M7 must go,
21916,1681786142107330,This Response from Dr Kizza Besigye after Bobi wine said there's democracy in Uganda at a DP bloc meeting is timeless What a Politician Dr kizza besigye is? Eyes on the ball M7 must go,
21936,105583497196,"Lwanga, Doka & Nkemba: Real warriors in defence #MonitorUpdates",
21942,169252986456497,Over 200 adolescents and young girls have received items worth about Ushs 100 million as part of efforts to empower them against getting infected with HIV. #NTVNews,
21949,274577061337,"FAO M Captain Rashid, Tell ABBEY KIBIRIGE SEMUWEMBA, HALIMAH KIBERU and Prossy Mwanjuzi that their appointments will be revoked should their new boss Bob Wine review their social media traffic.",
21954,1681786142107330,"AFRICA - Has The Western World Diluted The Sovereignty Of African Countries? CASE STUDY - South Africa, Nigeria, Uganda, Zimbabwe, South Sudan, Tanzania",
21972,169252986456497,"Residents of Kakoge, Lira City have benefited from three billion shillings from the American government meant to help the urban poor affected by COVID-19. #NTVNews Aceng supports Lira girls's income-generating projects",
21975,105583497196,Monaco DL dream alive #MonitorUpdates,
21989,274577061337,UPC PATRIOTISM,
21993,1681786142107330,It’s the mask. She isn’t getting enough oxygen to the brain,
22018,129941485127407,Should we sell UGANDA to FOREIGNERS or we stand and fight to own it as we Ugandans?? watch the video and make a decision #vizzovizzibo,
22029,105583497196,FDC reunites in Acholi ahead of 2021 elections #MonitorUpdates,
22042,169252986456497,Lebanon's Information Minister Manal Abdel Samad on Sunday quit in the first government resignation since a deadly port blast killed more than 150 people and destroyed swathes of the capital. #NTVNews Click 👇👇,
22052,1681786142107330,nrm is a rotten state,
22053,274577061337,For Quality Leadership,
22073,274577061337,"Thank God this has come from people like you Mr. Ham, before M7 came to power Uganda had its own commercial bank UCB, this was the bank which helped Ugandan traders and at the same time raised revenue to the government, but unfortunately this government you praise sold it! And never ended on that, they also closed all the Ugandan born banks like Greenland bank!! World over, all well doing countries have their own commercial banks, look at KCB in Kenya, NNBS in Tanzania, Zanacco in Zambia, FNB in South Africa, and so on! You can't think of controlling your economy and help nationals without own bank!",
22093,1681786142107330,https://www.facebook.com/113153756820788/posts/192479802221516/,
22110,1681786142107330,massage NUP,
22128,274577061337,When the ‘#PUMPKIN and #WATERMELON meet at the dining table’,
22131,129941485127407,"https://www.facebook.com/ladstexomart/ 🧺 Mobile Laundry anywhere Around Kampala . ✅ Laundry and all other clothing needs done for you. 📲 0783601846, 0700 734636",
22139,1681786142107330,bOBI WIne akedde Kusimu Okulaba Ensonga Za Eddy Kenzo VIDEO > 👇 https://youtu.be/JFREV13ZHxM 👇👇,
22184,274577061337,"VANNESSA PARADIS, THEN CHILD PRODIGY, CELEBRATING JOE THE BLACK TAXI DRIVER ONE OF THE GREATEST HITS OF THE 1980s ""Joe le taxi"" is a song about a taxi driver, Joe, who works in Paris. ... The song emphasizes the notion that Joe seems to know all there is to know about the French capital including the whereabouts of all the little bars, all of the Parisian streets, the Seine, and bridges",
