,id,text,category,label
84,3141,A page with great Inspiration! Please LIKE it and SHARE with your Friends! #myyellowidea #UGDigitalAgency,Promotional,
85,3142,"In this evil regime everything is possible, the devil is active.... The perpetrators are close allies of the ruler. But why?? 😥 God show your anger of the old testament, let them perish for this act of blasphemy.",Organic,
86,3143,NRM MANIFESTO: President Museveni roots for science-led economy. Details in the New Vision. Subscribe to our #EPAPER; https://bit.ly/39qqm7v:=:https://epapers.visiongroup.co.ug/ | #VisionUpdates https://youtu.be/pBehZGB27EI:=:https://www.youtube.com/watch?v=pBehZGB27EI&feature=youtu.be,Editorial,
87,3144,"I weakened FDC in Busoga region, says Mukula https://bit.ly/3iuIaBJ:=:https://www.monitor.co.ug/News/National/-FDC-Busoga-Mukula-Ekongot-Akello-NRM/688334-5606616-ga94doz/index.html #MonitorUpdates",Editorial,
88,3145,"“This is to acknowledge receipt of your complaint in regards to the above [investigation of Kasekende, Bagyenda and Sekabira]. This letter is addressed to two institutions which are both mandated to direct on investigations. The complaint should be addressed to one institution for proper investigations and follow-up and also to avoid duplicity and wastage of resources, “reads DPP Abodo’s letter.",Organic,
89,3146,What If we use this Same Method Here in Uganda?,Organic,
90,3147,Surf Computers,Organic,
91,3148,"Malawi President working on new law seeking to trim his presidential powers & empower the citizens In his national address, Chakwera said having a president who makes too many decisions has created problems and this has led to government mismanagement in the past. He says the president has too much appointing authority and responsibilities that ....read more... http://newz.ug/malawi-president-working-on-new-law-seeking-to-trim-his-presidential-powers-empower-the-citizens/",Editorial,
92,3149,"Malawi President working on new law seeking to trim his presidential powers & empower the citizens In his national address, Chakwera said having a president who makes too many decisions has created problems and this has led to government mismanagement in the past. He says the president has too much appointing authority and responsibilities that ....read more... http://newz.ug/malawi-president-working-on-new-law-seeking-to-trim-his-presidential-powers-empower-the-citizens/",Editorial,
93,3150,The truck driver who collapsed in Lira over the weekend has been identified. Details 👉 https://bit.ly/30KbMFw:=:https://newvisionapp.com/2663 | #VisionUpdates,Editorial,
94,3151,Cry my beloved Country,Organic,
95,3152,Cry my beloved Country,Organic,
96,3153,Cutting People Power open: Open letter to Nubian Li #MonitorUpdates,Editorial,
97,3154,"The NRM party is set to hold its national delegates conference between the 18th and the 20th of this month. According to the party secretary-general Kasule Lumumba, the conference will be held at the district level. #NTVNews #UGDecides2021",Promotional,
98,3155,Absolutely,Organic,
99,3156,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",Organic,
100,3157,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",Organic,
101,3158,"Murathe said Odinga, 75, will be a transitional president who will clear the way for generation change in Kenya’s political order.",Organic,
102,3159,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",Organic,
103,3160,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",Organic,
104,3161,"Wine’s candidacy has stirred significant support especially among the country’s youth drawn by his use of music to spotlight rampant rights abuses, corruption and Museveni’s long rule.",Organic,
105,3162,"The Clearing and Forwarding industry is one of the most lucrative and security is following up an intelligence tip that Kateshumbwa used his office of the Commissioner Customs to ensure that all money-spinning clearing and forwarding clearances were managed by his firm, raising questions of conflict of interest.",Organic,
106,3163,"After 4 years of construction work, the long-awaited Atiak sugar factory has finally started production of sugar in Amuru district. #NTVNews",Editorial,
107,3164,Is it true??,Organic,
108,3165,#Share and like our #page,Organic,
109,3166,😍😍😍🏃🏃,Organic,
110,3167,Worthy Watching...👇👇👇,Organic,
111,3168,"Dear all, I'm soon recruiting over 500 youth who are so knowledgeable in business across the region. If you are in Uganda, Tanzania, Kenya, South Sudan and Rwanda you are very lucky to have this opportunity. just follow and like my page for you to be in touch with me https://www.facebook.com/Chan-Mut-Turoah-107721017704590/",Editorial,
112,3169,Sheema Woman MP Aspirant Accused Of Assaulting Maid Over Closeness To Her Hubby ☛,Organic,
113,3170,Sheema Woman MP Aspirant Accused Of Assaulting Maid Over Closeness To Her Hubby ☛,Organic,
114,3171,The NRM Secretary General Justine Kasule Lumumba says nobody is above the law when it comes to enforcing government directives on curbing the spread of COVID-19. #NTVNews #UGDecides2021,Editorial,
115,3172,"The decision by the DPP to sanction the attaching of Kasekende’s properties is supported by a report by Parliament’s Committee on Commissions, Statutory Authorities and State Enterprises (Cosase) that questioned the manner in which he acquired the properties.",Organic,
116,3178,"The easiest way to earn Bitcoins? Just change your browser to CryptoTab and receive payments to your balance every 10 minutes. You will get BTC for simply using it, even if just having CryptoTab browser window open. It takes less than 1 minute to start earning. So, click the picture, download the app and start earning bitcoin -",Editorial,
117,3179,"Many people will get recharge card tonight. Congrats and don't miss it, Admin block me if I don't send the card, 5k recharge card Glo Mtn Airtel Eti Write 1-30 without interruption. First 5 people that get it get 5k card.",Organic,
118,3180,We have agreed that Bobi Wine will lead for 10 years – Nambooze #MonitorUpdates,Editorial,
119,3181,"Nasty road accident on Sunday evening, between friend’s bus and government double cabin UG 0922Z The accident happened along Gulu -Kampala highway",Organic,
120,3182,STAY WARNED,Organic,
121,3183,Full figure has a message for all people on kyeyo what should we do for her nga oleese speed !!!,Organic,
122,3184,BUGWERI Decides,Organic,
123,3185,????????,Organic,
124,3186,"say - Look ... Look ... Oklahoma Highway Patrol pulled a hole in the pursuit vehicle, but look what happens #amazingvideos",Organic,
125,3187,Batiddemu🤔🤔,Organic,
126,3188,Origin & where we are today. Servitude but is it still worth doing??!!!,Organic,
127,3189,Republican woman GOES VIRAL with speech about why she's abandoning Trump,Organic,
128,3190,https://www.facebook.com/108621744062754/posts/168410508083877/?app=fbl,Organic,
129,3191,"KAMALA THE UGANDAN GIANT WHO SADLY PASSED AWAY TODAY, IS MOURNED BY WRESTLING FANS AROUND THE WORLD. RIP..",Organic,
130,3192,RIPPING NRM OUT OF UGANDA... PLEASE HELP TO SHOW THEM THE WAY OUT👉👉👉2021👈 UGANDANS WAKE UP!!!,Organic,
131,3193,For those ababadde bebasse nga nze... nabino bikulu nyo,Organic,
132,3194,Follow on FB Frank jo and Instagram frankjo_official for more music updates,Organic,
133,3195,Follow on FB Frank jo and Instagram frankjo_official for more music updates,Organic,
134,3196,He looks like he is knocking on hell's door. The bell is certainly tolling. Barbarism and evil eventually catch up with the perpetrators in the end. The finity of life is the great leveller. This is the ineluctable law of nature that no one can run away from. Not Ofwono Opondo. Not KAYIBANDA RUBATASIRWA MUSEVENI. Teddy Ayo Opot KaIcaka Sokolokobangusay Kolongo William Okidi Moses Atocon Julius Peter Moto,Organic,
135,3197,We must not allow it,Organic,
136,3198,Follow the page for more updates #DrStellaNyanzi,Organic,
137,3199,Like the page 👇 👇,Promotional,
138,3200,Life changing lessons from the lockdown #MonitorUpdates,Editorial,
139,3201,Wabula ayige,Organic,
140,3202,Akatambi ka Basudde,Organic,
141,3203,Akatambi ka Basudde,Organic,
142,3204,Akatambi ka Basudde,Organic,
143,3205,❤️❤️❤️,Organic,
144,3206,"NEWS - We welcome EmailTree AI as sponsor to AI Expo Africa 2020 Online- Africa's largest B2B Artificial Intelligence, Data Science and Robotic Process Automation-focused trade show & conference. Learn more here: aiexpoafrica.com #AI #AIExpoAfrica #Africa #ArtificialIntelligence #4IRSA #ML #RPA #MachineLearning #RoboticProcessAutomation #DataScience #Conference #Event",Editorial,
145,3207,"WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION: Museveni went to the bush in 1981 to fight for a stolen election. The People Power will not go to the bush 2021. however, Museveni and his NRM thugs have continually violated the COVID-19 RULES OPENLY then, THE PEOPLE’S REVOLUTIONARY FORCE, T.P.R.F. will remove Museveni and his NRM from Power by force of arms regardless. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/NubianAliBuken/videos/290696201993805/?t=34",Organic,
146,3208,Stella asazewo,Organic,
147,3209,Spouses should not badmouth each other - Manuela #MonitorUpdates,Editorial,
148,3210,𝐖𝐡𝐚𝐭 𝐝𝐨 𝐲𝐨𝐮 𝐤𝐧𝐨𝐰 𝐚𝐛𝐨𝐮𝐭 𝐀𝐜𝐡𝐨𝐥𝐢 𝐥𝐚𝐝𝐢𝐞𝐬 𝐚𝐩𝐚𝐫𝐭 𝐟𝐫𝐨𝐦 𝐛𝐞𝐢𝐧𝐠 𝐡𝐚𝐫𝐝𝐰𝐨𝐫𝐤𝐢𝐧𝐠 𝐥𝐚𝐝𝐢𝐞𝐬?,Organic,
149,3211,That's wat is hurting this kasajja with bigooli oba kulwaki tebava mu self denial nti Bobi mazzi mawanvu,Organic,
150,3212,The Whole world loves RockUg,Organic,
151,3213,Eric Kigozi’s legacy of service and dedication #MonitorUpdates,Editorial,
152,3214,https://www.facebook.com/113153756820788/posts/192479802221516/,Organic,
153,3215,IT'S WORTHY SHEARING,Organic,
154,3216,One word for Doctor Desire Luzinda??🙌🏽😅,Organic,
155,3221,"Watch video he full mix https://youtu.be/8JIxplY0STE Download audio mixes https://hearthis.at/dj-uzi-banx/#redirect Best Nonstop to Africa 2020 ft bongo,gengetone, hip hop,love,naija afrobeats,gospel,South African music 2020 etc 👇👇👇👇 https://drive.google.com/file/d/13CRCZIalc2aiaQt1vSKibIDcv49QoZzs/view Download this app to download audio and videos on YouTube👇👇👇👇👇👇 https://www.videoder.com I'm on Instagram as @deejayuzibanx. Install the app to follow my photos and videos. https://www.instagram.com/invites/contact/?i=3ytzfuwpvu5z&utm_content=2kaza7d",Organic,
156,3222,Hundreds killed as residents rebel against Baganda agents’ rule in Kigezi #MonitorUpdates,Editorial,
157,3223,"The fact is, we have an important choice to make in February 2021",Organic,
158,3224,"Russia has long been training Africans in advanced weapons technology in Russia, it is only inevitable that these Africans will start coming home with higher tech military training and Russian equipment. During Africa's independence struggles from the West no Western country would sell lend nor credit Africa arms; since they were the enemies of Africa who were plundering its wealth, grabbing land and human resources, why would they want to help Africa to this day?",Organic,
159,3225,Mbu a good leader must be a good ex........??,Organic,
160,3226,Museveni must go Tatulemelako,Organic,
161,3227,Humans against nature,Organic,
162,3228,We are good at home gardening #MonitorUpdates,Editorial,
163,3229,Ugandans shooting sideways.,Organic,
164,3230,Issues in relationships and how to handle them. ali mumukwano sembera,Organic,
165,3231,Issues in relationships and how to handle them. ali mumukwano sembera,Organic,
166,3232,She is still proud to be part of NRM hummm gasiya pekeyake,Organic,
167,3233,"This happened in Koboko yesterday,no police deployed,ambulance available and its called scientific campaign,amnot in politics my question is about the alleged corona of Uganda.",Organic,
168,3234,The radical terrorists are in full swing...all they have are a Ka laptop and earphones but are busy attacking kenzo🤣🤣🤣 mbu bukakasa.. msteww their cult leader has mediocre songs but are attacking Uganda's brand ambassador... We invite kenzo to join FDC,Organic,
169,3235,"Judiciary, UPC court drama continues #MonitorUpdates",Editorial,
170,3236,..,Organic,
171,3237,https://www.facebook.com/113153756820788/posts/192479802221516/,Organic,
172,3238,Olumaze okulya omusimbi ggwa Anite nebebeleramu 🙆‍♂️,Organic,
173,3239,Uganda twagilwa... katonda yamba...,Organic,
174,3240,Cutting People Power open: Open letter to Nubian Li #MonitorUpdates,Editorial,
175,3241,listen,Organic,
176,3242,"New post added at The Movement Times - Dicksons Kateshumbwa calls for calmness, denies organising a procession from Mbarara to Kabwohe",Organic,
177,3243,Sunday request show team NUP and team NRM hhh call Neighborhood,Organic,
178,3244,"#Covid19: Uganda registers Seventh death, 5 new cases in Kampala The deceased, is a 49-year old Ugandan female, a resident of Wakiso. The development comes hours after , The US Embassy in Uganda warned Kampala has a lot more cases of COVID-19 than are currently known. ...... http://newz.ug/covid-19-uganda-registers-seventh-death-5-new-cases-in-kampala/",Organic,
179,3245,https://www.facebook.com/108621744062754/posts/164495248475403/?app=fbl,Organic,
180,3246,When afull still talks people think he's is a ugandan yet he's aduck,Organic,
181,3247,"Why popularity in politics matters more than experience, competence #MonitorUpdates",Editorial,
182,3248,Anite's bill bord.,Organic,
183,3249,Bagambeko 🔥 🔥,Organic,
184,3250,Bagambeko 🔥 🔥,Organic,
185,3251,Makumbi worked her way up to top of the literary world #MonitorUpdates,Editorial,
186,3252,#Ofwono Opondo at #NakaseroHospital: Am making good progress,Organic,
187,3253,Bagambeko 🔥 🔥 🔥,Organic,
188,3254,"When you sarve a selfish regime that is what happens at last, you reap what you saw",Organic,
189,3255,#FridayRideShow Every Friday Streaming Live On Facebook Swat entertainment uganda From 4pm to 6pm Hosted By Nicholas Mexex & D Jaymagic Tach Uganda,Organic,
190,3256,Share,Organic,
191,3257,"Putin may be right, but what if he is wrong? #MonitorUpdates",Editorial,
192,3258,https://youtu.be/bN6znskKXCg,Organic,
193,3259,Hiroshima @75: Anatomy of a heinous crime against humanity #MonitorUpdates,Editorial,
194,3260,https://thegkmurithi.wordpress.com/2020/08/07/youth-against-corruption/,Organic,
195,3280,"Hon. Francis Ayume has risen from dead, in the names Dr Charles Ayume Junior , the flower girl should watch the space. The owner of Koboko is taking over Raa",Organic,
196,3281,"Bushenyi District Chairman tests positive for Coronavirus, rejects results",Organic,
197,3282,See,Organic,
198,3283,We have agreed that Bobi Wine will lead for 10 years – Nambooze #MonitorUpdates,Editorial,
199,3284,"At least 29 bodies have been recovered after a massive landslide triggered by monsoon rains swept away dozens of tea estate workers in southwestern India, police said on Sunday. #NTVNews Read 👇👇",Editorial,
200,3285,we all need to get inspiration from this... Must Watch this Video.,Organic,
201,3286,Online Church,Organic,
202,3287,https://www.facebook.com/108621744062754/posts/163821028542825/?app=fbl,Organic,
203,3288,Advise to Bobi from Dr. Aggrey Kiyingi,Organic,
204,3289,HACKED by NRM fraudists,Organic,
205,3290,https://www.facebook.com/108621744062754/posts/163821028542825/?app=fbl,Organic,
206,3291,NAIRA MARLEY IN TROUBLE IN NIGERIA,Organic,
207,3292,"""I enrolled at Nkozi university for Development Studies which I barely did for a year because I had a UK tour that my manager then committed to and the dates collided with my first Exam period. I began to get tired of trying even when I knew the granite importance of Education,""",Organic,
208,3293,The fall of Bobi Wine 👉👉https://bit.ly/3a8kgZS:=:https://www.monitor.co.ug/OpEd/Commentary/The-fall-Bobi-Wine-/689364-5606118-nrf4s8z/index.html #MonitorUpdates,Editorial,
209,3294,"#EDDY KENZO, CONFIRM WHAT YOU SAID ON THIS VIDEO!!!!! https://www.facebook.com/radiosimba/videos/937822406732783/",Organic,
210,3295,Government has been called upon to pay more attention to mental health issues if cases of violence in communities are to be managed. #NTVNews,Editorial,
211,3296,SOMEONE ALERT SEVERINO KAHINDA OTAFIRE BEFORE THIS CANADIAN BEER IS WITHDRAWN FROM THE MARKET.,Organic,
212,3297,FDC Reconciliation: Hon. Reagan Okumu Reconciles with Hon. Acire Christopher,Organic,
213,3298,THE STRANGE CASE OF A POT BELLIED KETTLE CALLING HIS POTS BLACK. A THIEF FIGHTING THIEVES.,Organic,
214,3299,"Nsereko, Cedric Babu battle for heart of Kampala City #MonitorUpdates",Editorial,
215,3300,"FOR Gook Akanga and Norman Lakayana, not Ofwono Opondo or Severino Kahinda Otafire.",Organic,
216,3301,Forum for Democratic Change (FDC) Party leaders have launched a countrywide reconciliation bid to bring back members who have fallen out with the party. #NTVNews,Editorial,
217,3302,HELP,Organic,
218,3303,Attention Attention,Organic,
219,3304,MUSEVENI MUST FALL MISSION 2021 VOTE HE RKS BOBI WINE FOR PRESIDENCY,Organic,
220,3305,Bulijooo iuuhh nze ntidde nyoo baana ba maama,Organic,
221,3306,😂 😂 😂,Organic,
222,3307,Warning: Ghetto Tv has been hacked! Unsubscribe and report.,Organic,
223,3308,Lessons on healthy love and why it’s okay to run from abuse #MonitorUpdates,Editorial,
224,3309,"New #US Ambassador to #Uganda #NatalieBrown promises urge #Museveni to organize a free & fair election, end #corruption She served in Tunisia as the country transitioned from dictatorship to democracy. Ben Ali had ruled the country for 22 years. She identified areas of focus: strengthen Uganda’s multiparty democracy, promoting good governance, combatting corruption, and reinforcing respect for human rights, including for marginalized populations.....read more.. http://newz.ug/new-u-s-ambassador-to-uganda-natalie-brown-promises-urge-museveni-to-organize-a-free-fair-election-end-corruption/",Organic,
225,3310,You are the kampala saviour against homosexuals and lesbians taking over kampala and uganda at large.we can't allow such......onto our city.,Organic,
226,3311,"Residents of Kagugube zone in Makerere, Kampala were thrown into a panic when fire gutted several properties at around 2:00 am this morning. #NTVNews",Editorial,
227,3312,Cheptegei eyes 5000 meters win at Diamond League https://bit.ly/2XIWTBi:=:https://www.newvision.co.ug/news/1524337/cheptegei-eyes-5000-meters-win-diamond-league | #VisionSports,Editorial,
228,3313,THE CONTROVERSY IN BOBI WINE'S PARTY What is the fight between NUP and NURP? How does the Electoral Commission come into it? Find the analysis 👉 https://bit.ly/3alxXFf:=:https://newvisionapp.com/2647 | #VisionUpdates,Editorial,
229,3314,Former Inspector General of Police General Kale Kayihura has called on journalists to leave him alone. He made the comments during the burial ceremony for his mother. #NTVNews,Editorial,
230,3315,How Opposition is trying to use ludo to defeat Museveni #MonitorUpdates,Editorial,
231,3316,Omubanda wa kyabazinga......#jinja_city_vedeo coming soon!,Organic,
232,3317,https://youtu.be/bN6znskKXCg,Organic,
233,3318,"Byewunyisa, Bisoomoza, bituzaamu amanyi, naawe osobola, katuzuule ebisingawo... Obade okimanyi nti..... Weyunge Ku Mukutu gweffe Ku YouTube okimanya ebisingawo",Organic,
234,3319,"President Museveni is trying to convince the members of the National Resistance Movement (NRM) Central Executive Committee (CEC) to vet Al-Mr Moses Kigongo, unopposed for the position of first national vice-chairperson of the party, Sunday Monitor has learnt. #NTVNews #UGDecides2021 Details 👇👇",Editorial,
235,3320,Bombers captain Bwogi vows to punch his weight #MonitorUpdates,Editorial,
236,3321,NUP TALKSHOW IN KITGUM . PPOP 💪💪💪💪⛱⛱⛱⛱⛱⛱,Organic,
237,3322,Cool,Organic,
238,3323,From mbale,Organic,
239,3324,https://www.facebook.com/globaleye001/videos/722399918541467/?app=fbl,Organic,
240,3325,https://www.facebook.com/globaleye001/videos/722399918541467/?app=fbl,Organic,
241,3326,This Response from Dr Kizza Besigye after Bobi wine said there's democracy in Uganda at a DP bloc meeting is timeless What a Politician Dr kizza besigye is? Eyes on the ball M7 must go,Organic,
242,3327,This Response from Dr Kizza Besigye after Bobi wine said there's democracy in Uganda at a DP bloc meeting is timeless What a Politician Dr kizza besigye is? Eyes on the ball M7 must go,Organic,
243,3328,"Lwanga, Doka & Nkemba: Real warriors in defence #MonitorUpdates",Editorial,
244,3329,Over 200 adolescents and young girls have received items worth about Ushs 100 million as part of efforts to empower them against getting infected with HIV. #NTVNews,Editorial,
245,3330,"FAO M Captain Rashid, Tell ABBEY KIBIRIGE SEMUWEMBA, HALIMAH KIBERU and Prossy Mwanjuzi that their appointments will be revoked should their new boss Bob Wine review their social media traffic.",Organic,
246,3331,"AFRICA - Has The Western World Diluted The Sovereignty Of African Countries? CASE STUDY - South Africa, Nigeria, Uganda, Zimbabwe, South Sudan, Tanzania",Organic,
247,3332,"Residents of Kakoge, Lira City have benefited from three billion shillings from the American government meant to help the urban poor affected by COVID-19. #NTVNews Aceng supports Lira girls's income-generating projects",Editorial,
248,3333,Monaco DL dream alive #MonitorUpdates,Editorial,
249,3334,UPC PATRIOTISM,Organic,
250,3335,It’s the mask. She isn’t getting enough oxygen to the brain,Organic,
