,text,category
65801,"Ugandan kidnapped at Rwanda border, UPDF demands his return The Independent July 12, 2020 A Ugandan has been kidnapped by gunmen dressed in Rwandan army uniform in Kabale border district, witnesses have said. Levy Byomuhangi, a resident of Rugarama village in Nyinamuronzi ward, Katuna was kidnapped by gunmen dressed in Rwandan army uniform at Mushenyi village, Karuhanga parish, Rubaya Sub County, about 20 metres away from #Uganda-#Rwanda border. Lieutenant Colonel Robert Nahamya, the Uganda Peoples Defense Forces (UPDF) 19th Battalion Commander confirmed the incident, saying that Ugandan security officials have contacted their counterparts in Rwanda demanding for Byomuhangi’s release. “We have been told one Ugandan has been taken by the security forces in Rwanda. They were chasing smugglers and entered into Uganda, landed on one man and they have taken him. We have informed Rwandan authorities and are working hand in hand,” Nahamya said. Saime Twesigomwe, the Rubaya Sub County, LCIII Chairperson says that the security personnel crossed into Uganda while pursuing suspected smugglers but instead arrested Byomuhangi after failing to trace the smugglers. Twesigwomwe adds that Byomuhangi was heading home from Mushenyi village where he had spent the whole day burning charcoal. Twesigwome says that the victim was handcuffed and taken to Rwanda. Nelson Nshangabasheija, Katuna Town council LC3 Chairperson described the incident as unfortunate saying that Byomuhangi’s family is living in fear that he could be harmed. Many Ugandans have been arrested while others killed by Rwandan security personnel. Last month, Sydney, a resident of Kagogo village in Bigaga parish, Butanda Sub County, Kabale district was shot dead by Rwandan security accusing him of smuggling matchboxes in Sebeya village, Burera district, about 15 kilometres from the Uganda-Rwanda borderline. In April 2019, three farmers Susan Rwanjungu and Junensia Bazongoza, all residents of Mushenyi village and Jovia Ruvungafu, a resident of Nyinarushengye village in Katuna Town Council were arrested by armed Rwandan soldiers while digging in their gardens and taken into Rwanda. The Uganda-Rwanda border has been closed since February 2019 following a diplomatic row between the two countries. Rwandan officials including President Paul Kagame accused Uganda authorities of abducting its citizens and locking them up in un-gazetted areas as well as hosting, sponsoring and facilitating dissidents. Talks between the two countries are yet to yield positive results.",
65806,"Col Fred Bogere and Maj Gen Eric Mukasa who died on July 2. The two former soldiers were not blood relatives. They didn’t even know each other as they grew up. With Gen Mukasa now gone, Col Bogere has an assemblage of tasks to accomplish https://zionly.io/3m8xJFK:=:https://www.monitor.co.ug/News/National/A-brotherhood-built-in-the-army/688334-5592018-lm29ig/index.html #MonitorUpdates",
65812,My country!,
65819,"Woman raped, left unconscious after accepting lift from stranger https://bit.ly/2BUIvyl:=:https://www.monitor.co.ug/News/National/Woman-raped-after-accepting-lift-stranger/688334-5592080-lm8w3m/index.html #MonitorUpdates",
65820,"Arinaitwe Rwakajara, a workers’ member of Parliament has cautioned employers against sacking their employees in the name of COVID-19. #NTVNews",
65821,Minister Aceng under fire for 'flouting' Covid-19 preventive measures https://zionly.io/FRRVYW6:=:https://www.monitor.co.ug/News/National/Minister-Aceng-under-fire-flouting-Covid-19-preventive-measures/688334-5592084-bvkppbz/index.html #MonitorUpdates,
65822,Like it for all the best interior equipments,
65839,⚽💥 MUSCLE INJURY #Barcelona player Antoine Griezmann is likely not to feature for the remainder of the season. | #VisionSports 👇🏽 https://newvisionapp.page.link/wVWxwbd2rRd2AMgPA:=:https://newvisionapp.com/1199,
65852,Land wrangle threatens industrial park progress https://zionly.io/F3N7bXR:=:https://www.monitor.co.ug/News/National/Land-wrangle-threatens-industrial-park-progress/688334-5592050-fnpcs4/index.html #MonitorUpdates,
65864,Covid-19: Africa partners with foreign developers on vaccine https://zionly.io/NaZxipS:=:https://www.monitor.co.ug/News/National/Covid-19-Africa-partners-with-foreign-developers-vaccine/688334-5592008-5wlmupz/index.html #MonitorUpdates,
65866,Dan Mugula y'ani?,
65883,"Mali's embattled president announced the dissolution of the constitutional court in an attempt to calm the major civil unrest gripping the vulnerable African country, as more opposition leaders were arrested. #NTVNews Click 👇👇",
65887,Here we are.!! Like and share our page..!!,
65890,"""Am sorry I was also used "" Bobi wine apologises to Ugandan Subscribe to my you tube channel for full video",
65898,🏏 #WEST INDIES SET 200 FOR WIN This opening match in a three-Test series marks the return of international #cricket from the #coronavirus lockdown. | #VisionSports 👇🏽 https://newvisionapp.page.link/NKQDVW2BsjYCwdvNA:=:https://newvisionapp.com/1194,
65901,Government is making steady progress in the distribution of masks countrywide to curb the spread of the COVID-19 Pandemic according to ICT Minister Judith Nabakooba. #NTVNews,
65905,Big debate to decide Uganda’s best left-backs https://zionly.io/XUE1jWu:=:https://www.monitor.co.ug/Sports/Soccer/Big-debate-to-decide-Uganda-s-best-left-backs/690266-5591960-ivgik7/index.html #MonitorUpdates,
65916,Business as usual for Cricket Cranes https://zionly.io/tqzvt9E:=:https://www.monitor.co.ug/Sports/Athletics/Business-as-usual-for-Cricket-Cranes/690274-5591950-rqwom4/index.html #MonitorUpdates,
65919,Mujooga,
65920,https://mknewslink.com/6-for-nrm-bushenyi-ishaka-parliamentary-seat-kabura-bimukye-declares-last/,
65923,"US President Donald Trump wore a face mask in public for the first time Saturday, finally yielding to intense pressure to set a public health example as the coronavirus rampages across America. #NTVNews Click 👇 👇",
65935,Tanzania plans to issue Covid-19 clearance ‘certificates’ for travellers https://zionly.io/Pt2fUAn:=:https://www.monitor.co.ug/News/World/Tanzania-plans-issue-Covid-19-clearance-certificates-travellers/688340-5591934-og9xs9/index.html #MonitorUpdates,
65950,"It's called the ""Kyagulanyi Effect""",
65954,L,
65961,"The Distinguished #Ugandans who have had their hard-earned names destroyed because of accepting appointments in the #NRM govt.- they never recovered .....It would appear that the Ssaabalwanyi has a poisoned cup from which these eminent citizens drink and cannot recover. Like Bukenya, Dr Specioza Wandira.The people’s bae, Wandira, got embroiled in a two and a half billion shillings heist in 2003 that decimated her reputation and has since lived in relative oblivion..... Former Attorney General Khiddu Makubuya holds a First Class Honours Bachelor of Laws degree from Makerere University, a Master of Laws degree and is a Doctor of Juridical Science—having qualified for both from Yale Law School in the United States in the 70s. Dr Makubuya stunned the country when, as Attorney General, he rendered a legal opinion to the effect that Dr Besigye could not be nominated while in (illegal) detention for the 2006 presidential race in part because he was half guilty and half innocent! It was. .....READ MORE... http://newz.ug/the-distinguished-ugandans-who-have-had-their-hard-earned-names-destroyed-because-of-accepting-appointments-in-the-nrm-government/",
65965,Y,
65975,Trump finally dons mask as US sets new virus case record https://zionly.io/haCPNm1:=:https://www.monitor.co.ug/News/World/Trump-finally-dons-mask-as-US-sets-new-virus-case-record/688340-5591914-m6hwjgz/index.html #MonitorUpdates,
65990,Membe has denied any wrongdoing and has said he was kicked out of the party for wanting to run for president.,
65993,Police boss promises justice for self-immolated boda-boda rider https://zionly.io/dSzJi9v:=:https://www.monitor.co.ug/News/National/Police-boss-promises-justice-for-self-immolated-boda-boda-rider/688334-5591898-rojkv3/index.html #MonitorUpdates,
66002,"Photo: Malian protesters demanding resignation of 75 year old President Ibrahim Boubacar Keita over #corruption, misrule",
66004,ICYMI: Uganda's Health Minister Dr Jane Ruth Aceng has spoken out on her pictures with a crowd that circulated on social media attracting mixed reactions. #NTVNews Read 👇 👇,
66016,"Sheffield United cruise past Chelsea, Liverpool's record bid hit by Burnley https://zionly.io/4SWKiMa:=:https://www.monitor.co.ug/Sports/Soccer/Sheff-Utd-cruise-past-Chelsea-Liverpool-record-bid-hit-Burnley/690266-5591874-12gkv7bz/index.html #MonitorUpdates",
66018,Nice program worth your time,
66031,JUDAS RAP Knowledge https://youtu.be/WhMq0ZrFQms,
66054,Ambassador Onyanga Aparr's body repatriated https://zionly.io/q2C3rQB:=:https://www.monitor.co.ug/News/National/Ambassador-Onyanga-Aparr-s-body-repatriated/688334-5591858-ys2bv9/index.html #MonitorUpdates,
66055,TALK OF THE NATION (ICYMI): Focusing on youth support as Uganda observes World Population day. #NTVNews Click 👇 👇,
66062,"#Kagame says ready to work with the new #Burundi president ‘’ to renew trade & re-normalize friendships’’ Kagame: We have to turn the page on history. This has not been good for our two countries. That is the role of political leaders in fact, which is beneficial to the people of our two countries who must move freely without hindrance.....read more.. http://newz.ug/kagame-says-ready-to-work-with-the-new-burundi-president-to-renew-trade-re-normalize-friendships/",
66063,Brown Shugar says Sipapa is a burglar | WATCH VIDEO,
66069,"Jinja Police yesterday used tear gas to disperse supporters of Kyaddondo East MP Robert Kyagulanyi, who had gathered outside a radio station in Jinja where Kyagulanyi had been hosted for a political talk-show. #NTVNews",
66087,NAKAWANGA,
66092,https://www.facebook.com/109657110760948/posts/152609593132366/?app=fbl,
66095,Luweero seeks UPDF support to secure encroached wetlands https://zionly.io/ayO5NSv:=:https://www.monitor.co.ug/News/National/Luweero-seeks-UPDF-support-to-secure-encroached-wetlands/688334-5591836-xrc1ld/index.html #MonitorUpdates,
66097,Engage banks before capping interest rates https://bit.ly/3ehLRIN:=:https://www.monitor.co.ug/OpEd/Editorial/Engage-banks-before-capping-interest-rates/689360-5591786-1c96yhz/index.html #MonitorUpdates,
66107,ICYMI: Exploring Fort Portal’s potential as a city. #NTVNews Click 👇 👇,
66126,Politicians have been advised to desist from just dishing out cash to voters but rather enhance their skilling and provide tools to boost their work. #NTVNews,
66128,"Celestin Tunda Ya Kasende sent his resignation to Prime Minister Sylvestre Ilunga Ilunkamba following ""a personal examination of the situation"", he said in a video message released to media https://zionly.io/JUMwwuX:=:https://www.monitor.co.ug/News/World/DR-Congo-justice-minister-resigns-after-brief-detention/688340-5591820-a1ymjsz/index.html #MonitorUpdates",
66136,"Dear Sister Jane Ruth Aceng I was one of the doubting Thomases...I thought that this was an old photo brought around by your enemies to confuse Ugandans. Madam Minister,curse your PR office because if you where properly guided you would have just kept quite over this matter and make it look like the usual social media stories or if you considered it so important that you.should be heard the ministry PRO would have written a vague clarification full of nothing,we public communicators know how that is done. But for you with your own words to take yourself at the scene of crime is so implicating that in a civilised world you would have resigned Immediately....First of all it's a big mistake and a big blow to the fight against Covd19 for you to announce that you are joining elective politics. Uganada is not short of Women Politicians (MPs) instead Uganda is short of ethical medical proffessions. Whoever advised you to join the race for moreover a women affirmative seat is your number one enemy. Ugandans had embraced you as their chief Musawo whose face we the taxpayers pays to put on TV in an advert calling on Ugandans to respect the World Health Guidelines in order to fight Covd19. We more or less looked at you as our non partisan Country's Chief Medic. I know the character of Museveni and his people....they fear people who have a National appeal and endorsement and to kill it they trick and sets them up against society. This is exactly what is being done to you. You can even face a bigger embarrassment when they rig you out and you are made to look a fool before your very people. Still even when you win, yes we shall have another yellowgirl in Parliament but ""our Doctor Ruth Aceng"" would have been murdered. I feel so sad that your effort to keep Ugandans health in this so challenging time has been dragged in the mud and wasted. Now you're like anyother selfish Nrm Politician. Of course one can argue that you are out to serve society. Others will challenge me of exhibiting double standards for me to continue being a Member of Parliament and then discourage others. My answer is that basing on where am ,I know better the situation in here. I wish to inform you that there are lots of other ways to make a difference and have a fulfilling job in politics. Whether that’s in a political party, the private sector, consultancies or NGOs. The fact is that not all of us can be in elective politics and as a Country we should be able to preserve a few souls to occupy offices that need a unifying character. From your Honourable Sister. Nambooze",
66138,Contact me,
66151,"""They got excited when they heard about face masks, and specifically the Minister for health whom they call ‘mama Corona’ and rushed to see me - Health Minister Dr Jane Ruth Aceng has spoken out on her pictures with a crowd that circulated on social media attracting criticism. #NTVNews Full story 👇 👇",
66153,Finally bobi wine shows his credentials after Showing his master plan to rescue unemployed youths when he gets power Subscribe to my you tube and watch the full video Sainty David,
66167,"Mercy John, a 33-year-old mother of two describes herself as a married single mother. Her husband of seven years is married only on paper. He is hardly ever home https://zionly.io/oTizs9k:=:https://www.monitor.co.ug/News/National/What-you-should-do-if-married-to-a-bachelor-husband/688334-5591802-14gnm4hz/index.html #MonitorUpdates",
66168,The Minister of Energy and Mineral Development Mary Goretti Kitutu has asked the managers of the Rural Electrification Agency to resign for allegedly failing to deliver power to rural Ugandans. #NTVNews,
66171,Uganda has talent,
66175,"Do not use sex to wither stress. Jessica, a house manager, confessed that the pregnancy was courtesy of Richard who had been sneaking into her room at odd hours and forcing her to have sex https://bit.ly/3fp2NhU:=:https://www.monitor.co.ug/News/National/Do-not-use-sex-to-wither-stress/688334-5591792-p2tv4d/index.html #MonitorUpdates",
66184,"Early last week, Robert Ssenyonga was hit on the head with a gun butt by an LDU officer in Buikwe, while riding his motorcycle. Yesterday, Senyonga's family confirmed that he had died from his injuries. #NTVNews",
66185,"UBOS: Uganda’s population at 41.6 million, females constitute 51 per cent https://zionly.io/EYcGSx9:=:https://www.monitor.co.ug/News/National/UBOS-Uganda-population-41-6-million-females-constitute-51-/688334-5591780-3gq68q/index.html #MonitorUpdates",
66210,Government has re-echoed its commitment to invest in the country's youth population in order to meet its development targets. #NTVNews,
66214,Our Entebbe Beaches are Silent. Covid bites further,
66223,Beaches are Silent,
66258,"St Augustine Chapel at Makerere has released a Closed Circuit Television (CCTV) footage connected to the assault and death of a Makerere University student, Emmanuel Tegu https://zionly.io/LI2Xtkg:=:https://www.monitor.co.ug/News/National/CCTV-footage-killed-Makerere-student-released/688334-5591418-oo7oi2/index.html #MonitorUpdates",
66280,"ISO has been accused of running safe houses to torture people and the Security minister, Gen Elly Tumwine, had confirmed that the spy agency has safe houses but denied that they are used to torture people https://zionly.io/MGR0LWk:=:https://www.monitor.co.ug/News/National/CMI-raids-ISO-safe-houses/688334-5591540-lpp75ez/index.html #MonitorUpdates",
66292,"Bedridden socialite Brian Kirumira has said his life is in danger, not just because of ill-health but, he fears, at the hands of a string of “enemies” he has made https://zionly.io/FltwUhK:=:https://www.monitor.co.ug/News/National/Mafias-are-after-my-life--says-Bryan-White/688334-5591510-155p9sy/index.html #MonitorUpdates",
66296,The amazing vision of #BalancedLifeFamily Pastor Josephine BLF Kay as they entertain us and consider hiring them for events we are helping the poor and supporting this amazing ministry.,
66302,The amazing vision of #BalancedLifeFamily Pastor Josephine BLF Kay as they entertain us and consider hiring them for events we are helping the poor and supporting this amazing ministry.,
66304,Akakiiko akateekateeka empaka z'emipiira gy'amasaza kagamba nti zino zakuddamu mu mwezi gw'ekkumi yadde nga giteereddwako obukwakkulizo obugendereddwa okwetangira ekirwadde ki COVID-19 #NTVNews https://zionly.io/Masaza-return-COVID?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Empaka-z-amasaza-ziddamu-mu-gw-ekkumi/4542248-5591746-fvqpobz/index.html,
66305,Anite ayagala ab'e Koboko basooke kutendekebwa okufuna ssente #NTVNews https://zionly.io/Anite-on-Koboko?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Anite-ayagala-ab-e-Koboko-basooke/4542248-5591742-uvcx9n/index.html,
66307,Bamufuna mpola abakoseddwa ennyo omuggalo olw'ekirwadde kya COVID-19 baakufuna ku kamwenyu ku matama olw'enteekateeka ya gavumenti emanyiddwa nga Emyoga #NTVNews https://zionly.io/Emyoga-Politics?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Emyoga-temugiyingizaamu-byabufuzi/4542248-5591730-50wnua/index.html,
66308,Police ye Kabale ekutte Sentebbe we kyalo ekiyitibwa Hamuganda eskisangibwa mu muluka gwe Mpalo mu distulikiti ye Kabale ng'emulanga kubba bupande bwa kunguudo okuli obubonero obulungamya abagoba nga bali ku nguudo #NTVNews https://zionly.io/Kabale-LC-arrested?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Poliisi-ekutte-ssentebe-w-ekyalo-e-Kabale/4542248-5591740-rmd4h9z/index.html,
66311,ABAFUMBIRWA NGA TEBANNEETUUKA: Omuwendo gwabwe gweyongedde e Luweero #NTVNews https://zionly.io/Luweero-Teenage-Preg?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Omuwendo-gwabwe-gweyongedde-e-luweero/4542248-5591750-1j6xpvz/index.html,
66313,Eyakubwa owa LDU e Buikwe afudde #NTVNews https://zionly.io/LDU-victim-dead?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Eyakubwa-owa-LDU-e-Buikwe-afudde/4542248-5591734-b851nnz/index.html,
66315,Ssemaka ayokezza ab’omunju ye; omwana afudde #NTVNews https://zionly.io/Man-kills-daughter?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Ssemaka-ayokezza-ab-omunju-ye--omwana-afudde/4542248-5591736-8cymre/index.html,
66316,Poliisi ekubye ttiyaggaasi mu bawagizi ba @HEBobiwine e Jinja #NTVNews https://zionly.io/Bobi-Jinja-Teargas?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.ntv.co.ug/news/akawungeezi/Poliisi-ekubye-ttiyaggaasi/4542248-5591744-13vn8vf/index.html,
66319,Why advertise a job already ring-fenced for an internal person? https://zionly.io/6LuEDcm:=:https://www.monitor.co.ug/Magazines/Jobs-Career/Why-advertise-a-job-already-ring-fenced-for-an-internal-person-/689848-5590674-m8c30dz/index.html #MonitorUpdates,
66325,What did we have if it wasnt a feed the pockets with billions.,
66326,Let the know how teach us,
66331,10 Subtle Signs of Bipolar Disorder.,
66335,Experts issue roadmap to avert post Covid-19 food crisis https://zionly.io/WPuajEO:=:https://www.monitor.co.ug/Magazines/Farming/Experts-issue-roadmap-to-avert-post-Covid-19-food-crisis/689860-5591618-14s12w9z/index.html #MonitorUpdates,
66343,Growing and adding value to tomatoes https://zionly.io/pfrLKHw:=:https://www.monitor.co.ug/Magazines/Farming/Growing-and-adding-value-to-tomatoes/689860-5591628-12ihjy3/index.html #MonitorUpdates,
66352,How to grow rice https://zionly.io/Hu4vorO:=:https://www.monitor.co.ug/Magazines/Farming/How-to-grow-rice/689860-5591632-qy8w67/index.html #MonitorUpdates,
66362,Many reasons you should keep goats https://zionly.io/GelguyD:=:https://www.monitor.co.ug/Magazines/Farming/Many-reasons-you-should-keep-goats/689860-5591638-pfm8yhz/index.html #MonitorUpdates,
66371,God's promise.,
66376,What song do you think Irene Namubiru Morel is singing...??😉🙌🏽😅,
66402,"The harvest is ready, are you prepared? https://zionly.io/4uYvVeT:=:https://www.monitor.co.ug/Magazines/Farming/The-harvest-is-ready--are-you-prepared-/689860-5591646-sqb152z/index.html #MonitorUpdates",
66426,⚽ MONDAY VERDICT NEXT... Pep Guardiola's #ManCity have done their part to ensure they will finish in top four. Now they wait to find out whether they will be allowed to compete in the Champions League next season. | #VisionSports 👇🏽 https://newvisionapp.page.link/h7fjBoCsKs36x2wH7:=:https://newvisionapp.com/1178,
66450,Covid-19 pandemic and crop disease epidemics https://zionly.io/FeQRTd6:=:https://www.monitor.co.ug/Magazines/Farming/Covid-19-pandemic-and-crop-disease-epidemics/689860-5591650-o56de1z/index.html #MonitorUpdates,
66478,Motivational quote 💦,
66485,Minister Anite urges politicians to focus on skilling youth #NTVNews,
66494,How mixed farming changed Kasajja’s fortune https://zionly.io/H7uTxT8:=:https://www.monitor.co.ug/Magazines/Farming/How-mixed-farming-changed-Kasajja-s-fortune/689860-5591608-135v5wn/index.html #MonitorUpdates,
66497,"Ugandan girl posts fiancé on Facebook, asks whoever has objections to speak up before its too late.... https://bit.ly/3fwzlGs?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.mywedding.co.ug/real-stories/202007/ugandan-girl-posts-fiance-on-facebook-asks-whoever-has-objections-to-speak-up.html",
66501,Buikwe rider dies after confrontation with LDU #NTVNews,
66504,Gospel love 🥰🥰,
66520,My biggest money mistake was the cash I spent on my wedding – Groom... Groom.... https://bit.ly/38PBR8c?utm_medium=social&utm_source=facebook_NTV_Uganda:=:https://www.mywedding.co.ug/advice/finance-budget/201907/my-biggest-money-mistake-was-the-money-i-spent-on-my-wedding-groom.html,
66524,"Jinja Police today used tear gas to disperse supporters of Kyaddondo East MP Robert Kyagulanyi, who had gathered outside a radio station in Jinja where Kyagulanyi had been hosted for a political talk-show #NTVNews",
66539,"While Honorable Ssemujju Nganda is arrested, the NRMO cadres get away with. Hypocrisy just! https://www.facebook.com/272329309588966/posts/1709235705898312/?app=fbl",
66549,Again bobi wine,
66563,Don't Watch this if you're Faint-hearted! How LDUs brutally kill innocent Ugandans,
66564,Everyone will know that it was God!!!.,
66565,Government has re-echoed its commitment to investing in the country's youth population in order to meet its development targets #NTVNews,
66573,"In matter of salt, soap, sugar: It’s the silly season again https://zionly.io/8BmsqmE:=:https://www.monitor.co.ug/OpEd/Commentary/In-matter-of-salt--soap--sugar--It-s-the-silly-season-again/689364-5591676-m1pt2y/index.html #MonitorUpdates",
66588,#NoToDigitalCampaigns!,
66598,⚽ #CHELSEA BLOW CHANCE A heavy defeat against #SheffUtd means The Blues are no longer in control of their next season's Champions League destiny. | #VisionSports 👇🏽 https://newvisionapp.page.link/pZJCdr1mc75HfGgq8:=:https://newvisionapp.com/1177,
66603,Hahahaha Afande 😂😂😂😂,
66605,Hahahaha Afande 😂😂😂😂,
66607,Impact of Covid on the off-grid energy sector https://zionly.io/qPxFz7t:=:https://www.monitor.co.ug/OpEd/Commentary/Impact-of-Covid-on-the-off-grid-energy-sector/689364-5591666-pj5lw2/index.html #MonitorUpdates,
66630,"#Tanzania's ruling party endorse #Magufuli as sole candidate Tanzania's ruling party on Saturday nominated The president, nicknamed ' The Bulldozer' for his relentless work ethic and populist approach John Magufuli to seek re-election in October. The unanimous decision by the Chama cha Mapinduzi party to back Magufuli came as no surprise.....read more.. http://newz.ug/tanzanias-ruling-party-endorse-magufuli-as-sole-candidate/",
66634,But why?,
66641,Growing fiscal deficit is a cause for worry https://zionly.io/BLlOhtm:=:https://www.monitor.co.ug/OpEd/Editorial/Growing-fiscal-deficit-is-a-cause-for-worry/689360-5591684-jqoqsq/index.html #MonitorUpdates,
66650,"IK OGBONNA the coolest most down to earth upper-class Nigerian Male actor! Watch your own black African movies and restore your self-esteem. The best and only way to build your true confidence, that's what others have over you and why you love them more than yourself. You watch way too much of their content!",
66652,We deserve to know!,
66656,NTV Weekend Edition | ntv.co.ug,
66657,Like the page for mo,
66665,"⚽ CHAMPIONS STUTTER #Liverpool may have dropped points at home against #Burnley, but they can still break #ManCity's record points haul of 100 two seasons ago. The Reds remain with matches against Arsenal, Chelsea and Newcastle. | #VisionSports 👇🏽 https://newvisionapp.page.link/WzdCXQ5ZAyRmhxtV8:=:https://newvisionapp.com/1176",
66666,https://youtu.be/wnAs4K5V3m4,
66668,😂😂😂😂😂😂,
66669,Akakiiko akateekateeka empaka z'emipiira gy'amasaza kagamba nti zino zakuddamu mu mwezi gw'ekkumi yadde nga giteereddwako obukwakkulizo obugendereddwa okwetangira ekirwadde ki COVID-19 #NTVNews,
66676,This Agricultural economy depends on schools!,
66680,Welcome brother Joseph Kabuleta https://zionly.io/Koq38J8:=:https://www.monitor.co.ug/OpEd/Commentary/Welcome-brother-Joseph-Kabuleta/689364-5591662-7x860sz/index.html #MonitorUpdates,
66681,Anite ayagala ab'e Koboko basooke kutendekebwa okufuna ssente #NTVNews,
66682,Katandika butandisi,
66686,Bamufuna mpola abakoseddwa ennyo omuggalo olw'ekirwadde kya COVID-19 baakufuna ku kamwenyu ku matama olw'enteekateeka ya gavumenti emanyiddwa nga Emyoga #NTVNews,
66691,Police ye Kabale ekutte Sentebbe we kyalo ekiyitibwa Hamuganda eskisangibwa mu muluka gwe Mpalo mu distulikiti ye Kabale ng'emulanga kubba bupande bwa kunguudo okuli obubonero obulungamya abagoba nga bali ku nguudo #NTVNews,
66695,ABAFUMBIRWA NGA TEBANNEETUUKA: Omuwendo gwabwe gweyongedde e Luweero #NTVNews,
66698,Eyakubwa owa LDU e Buikwe afudde #NTVNews,
66701,🤣🤣,
66704,Ssemaka ayokezza ab’omunju ye; omwana afudde #NTVNews,
66709,Poliisi ekubye ttiyaggaasi mu bawagizi ba Bobi Wine e Jinja #NTVNews,
66713,The level of UPDF brutality requires more than apologies https://zionly.io/6u9uHMY:=:https://www.monitor.co.ug/OpEd/Commentary/The-level-of-UPDF-brutality-requires-more-than-apologies/689364-5591658-jub8jl/index.html #MonitorUpdates,
66715,The Muchwezi's Kintu and Nambi finally comes to an end,
66740,Why land disputes continue to rage https://zionly.io/3ESDe2Q:=:https://www.monitor.co.ug/OpEd/Letters/Why-land-disputes-continue-to-rage/806314-5591652-6a51eoz/index.html #MonitorUpdates,
66760,Norwich relegated from Premier League as four-goal Antonio lifts West Ham #NTVNews Read More 👉 https://zionly.io/Norwich-out-EPL:=:https://www.ntv.co.ug/news/sports/Norwich-relegated-from-Premier-League/4522368-5591722-ujlkbfz/index.html,
66765,Kiruhura murders: Evidence of an independent expert https://zionly.io/ZX7CmW9:=:https://www.monitor.co.ug/SpecialReports/Kiruhura-murders--Evidence-of-an-independent-expert/688342-5591592-g00ro2z/index.html #MonitorUpdates,
66785,NTV Ku Ssawa Emu | ntv.co.ug,
66788,My childhood bullies - Part 1 https://zionly.io/zuipDEZ:=:https://www.monitor.co.ug/SpecialReports/My-childhood-bullies---Part-1/688342-5591560-u6y342/index.html #MonitorUpdates,
66796,Intellectual on site..There is a serious discussion here..JOIN,
66798,Tanzania's ruling party on Saturday nominated President John Magufuli to seek re-election in October https://bit.ly/2ZiskDw:=:https://www.monitor.co.ug/News/World/Tanzanian-president-John-Magufuli-wins-nomination-re-election/688340-5591710-e1h896z/index.html #MonitorUpdates,
66802,When twin sons fight so that one is recognised as dads strongest.,
66812,National ID errors make elderly miss SAGE cash https://zionly.io/uhGmcDn:=:https://www.monitor.co.ug/SpecialReports/National-ID-errors-make-elderly-miss-SAGE-cash/688342-5591554-32qg26z/index.html #MonitorUpdates,
66826,"WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION: People Power Should Proceed With The Scientific Elections With Caution In Order To Legitimize U.F.D.F. Military Intervention To Prevent A Genocide By NRM? The Scientific General Elections That Is Forced On Ugandans By The Ruling NRM Is Already Reason # 1 Of The Main Triggers For Military Intervention By The U.F.D.F. That Means The Mandate For The NRM Government Runs from February 2016 to February 2021. However, The U.F.D.F. Retains The Right To Intervene Militarily To Save Ugandans If The Killings And Political Murders Continue Unabated During This Election Period?",
66836,#PresidentJosephKabuleta,
